head,relation,tail
America,capital,Washington_D.C.
America,first_president,George_Washington
Barack_Obama,born_in,Honolulu
Barack_Obama,birth_date,1961-08-04
Barack_Obama,party,Democratic
Barack_Obama,education,Columbia_University
Barack_Obama,children,Malia_Obama
Barack_Obama,father,Hussein_Onyango_Obama
Barack_Obama,wife,Michelle_Obama
Barack_Obama,spouse,Michelle_Obama
Mike_Pence,wife,Karen_Pence
Mike_Pence,father,Edward_J._Pence
Mike_Pence,mother,Nancy_J._Pence
Bill_Clinton,born_in,Hope
Dick_Cheney,wife,Lynne_Cheney
Dick_Cheney,father,Richard_Herbert_Cheney
Dick_Cheney,mother,Marjorie_Lorraine_Cheney
Bill_Clinton,birth_date,1946-08-19
Bill_Clinton,spouse,Hillary_Clinton
Bill_Clinton,wife,Hillary_Clinton
Hillary_Clinton,mother,Dorothy_Howell
Hillary_Clinton,father,Hugh_Rodham
David_Letterman,birth_date,1947-04-12
David_Letterman,born_in,Indiana
David_Aganzo,is_affiliated_to,Rayo_Vallecano
David_Letterman,citizen_of,India
David_Livermore,plays_for,Hull_City_A.F.C.
John_F._Kennedy,father,Joseph_P._Kennedy_Sr.
John_F._Kennedy,wife,Jacqueline_Kennedy
Robert_F._Kennedy,mother,Rose_Kennedy
Harry_S._Truman,mother,Martha_Truman

Richard_Nixon,father,Frank_Nixon
Richard_Nixon,wife,Pat_Nixon
Richard_Nixon,mother,Hannah_Nixon
Frank_Nixon,wife,Hannah_Nixon

Lyndon_B._Johnson,father,Sam_Ealy_Johnson_Jr.
Lyndon_B._Johnson,mother,Rebekah_Baines_Johnson
Sam_Ealy_Johnson_Jr.,wife,Rebekah_Baines_Johnson
Gerald_Ford,mother,Dorothy_Ayer_Gardner_Ford
David_Perpetuini,is_affiliated_to,Stevenage_F.C.
David_Silverman,citizen_of,United_States
David_Silverman,birth_date,1957-03-15
David_Silverman,born_in,New_York
Davy_Walsh,plays_for,Walsall_F.C.
David_Forde,birth_date,1979-12-06
David_Forde,born_in,Galway
David_Forde,position,Goalkeeper
David_Livermore,birth_date,1980-05-20
David_Livermore,born_in,London
Davy_Walsh,birth_date,1923-04-28
Davy_Walsh,born_in,Waterford
Davy_Walsh,position,Forward
David_Silverman,education,University_of_Maryland
Dean_Parrett,is_affiliated_to,Aldershot_Town_F.C.
Donald_Trump,father,Fred_Trump
Fred_Trump,father,Frederick_Trump
Donald_Trump,wife,Melania_Trump
Donald_Trump,born_in,New_York
Donald_Trump,birth_date,1946-06-14
Donald_Trump,party,Republican
Donald_Trump,middle_name,John
Donald_Trump,education,University_of_Pennsylvania
Donald_Trump,Founder,Trump_Organization
Donald_Trump,children,Ivanka_Trump
Gareth_Williams,plays_for,Blackpool_F.C.
Gary_Caldwell,plays_for,Derby_County_F.C.
Gary_Charles,is_affiliated_to,Birmingham_City_F.C.
Gavin_Strachan,is_affiliated_to,Motherwell_F.C.
Gavin_Williams,is_affiliated_to,Hereford_United_F.C.
Gene_Hackman,actedIn,Get_Shorty
George_Burley,plays_for,Gillingham_F.C.
George_H._W._Bush,born_in,New_Haven
George_H._W._Bush,father,Prescott_Bush
George_H._W._Bush,birth_date,1946-07-06
George_H._W._Bush,vice_president,Dick_Cheney
George_H._W._Bush,wife,Laura_Bush
Gilles_Deleuze,influences,Michel_Foucault
Glenn_Loovens,plays_for,Sheffield_Wednesday_F.C.
Gold_Coast,located_in,Queensland
Habib_Bamogo,plays_for,Olympique_de_Marseille
Habib_Bamogo,plays_for,FC_Nantes
Hillary_Clinton,spouse,Bill_Clinton
Hillary_Clinton,born_in,Chicago
Hillary_Clinton,birth_date,1947-10-26
Jill_Biden,husband,Joe_Biden
Jill_Biden,birth_date,1951-06-03
Jill_Biden,born_in,Hammonton
Jill_Biden,education,Villanova_University
Jill_Biden,father,Donald Jacobs
Joe Biden,middle_name,Robinette
Joe_Biden,wife,Jill_Biden
Joe_Biden,born_in,Scranton
Joe_Biden,children,Hunter_Biden
John_Durnin,is_affiliated_to,Kidderminster_Harriers_F.C.
John_Durnin,plays_for,Port_Vale_F.C.
Kamala_Harris,born_in,Oakland
Kamala_Harris,birth_date,1964-10-20
Melania_Trump,husband,Donald_Trump
Melania_Trump,born_in,Slovenia
Melania_Trump,birth_date,1970-04-26
Melania_Trump,marriage_year,2005
Michel_Kreek,citizen_of,Netherlands
Michelle_Obama,born_in,Chicago
Michelle_Obama,birth_date,1964-01-17
Michelle_Obama,mother,Marian_Shields_Robinson
Mickey_Rourke,citizen_of,Germany
Naomi_Campbell,citizen_of,United_States
Neil_Lennon,is_affiliated_to,Celtic_F.C.
Neil_Redfearn,is_affiliated_to,Doncaster_Rovers_F.C.
Netan_Sansara,plays_for,Walsall_F.C.
Oprah_Winfrey,born_in,Kosciusko
Oprah_Winfrey,birth_date,1954-01-29
Oprah_Winfrey,profession,Media_Proprietor
Oprah_Winfrey,TV_Personality,The_Oprah_Winfrey_Show
Scott_McDonald,plays_for,West_Ham_United_F.C.
Scott_McDonald,born_in,Melbourne
Scott_McDonald,plays_for,Oldham_Athletic_A.F.C.
Scranton,located_in,Pennsylvania
Scranton,nickname,The_Electric_City
Stephen_Harper,born_in,Toronto
Steve_Morrow,plays_for,Watford_F.C.
Tanzania,located_in,Africa
Tanzania,capital,Dodoma
Walter_Becker,citizen_of,United_States
Walter_Becker,born_date,1950-02-20
Washington_D.C.,located_in,United_States
Washington_D.C.,founded,1790
Mickey_Rourke,born_in,Schenectady
Mickey_Rourke,birth_date,1952-09-16
Mickey_Rourke,profession,Actor
Neil_Lennon,born_in,Lurgan
Neil_Lennon,birth_date,1971-06-25
Neil_Lennon,position,Midfielder
Ronald_Reagan,wife,Nancy_Reagan
Jimmy_Carter,wife,Rosalynn_Carter
Jimmy_Carter,mother,Lillian_Gordy_Carter
Nancy_Pelosi,father,Thomas_D'Alesandro_Jr.
Elizabeth_Warren,mother,Pauline_Reed
Elizabeth_Warren,father,Donald_Jones_Herring
